SOC_NAME,NumberApplications,ShareOfTotalAsPercent,ROUND(AVG(PREVAILING_WAGE)),STDDEV(PREVAILING_WAGE)
"MARKET RESEARCH ANALYSTS AND MARKETING",253,0.0,51619,13638.456104630735
"NETWORK AND COMPUTER SYSTEMS ADMINISTRATOR",251,0.0,75106,11262.650864144342
"PARALEGALS AND LEGAL ASSISTANTS",246,0.0,47807,13425.780743608397
"CHEMISTRY TEACHERS, POSTSECONDARY",240,0.0,52280,18901.201025600258
"PHYSICS TEACHERS, POSTSECONDARY",237,0.0,55535,14765.970176038982
"MEETING, CONVENTION, AND EVENT PLANNERS",237,0.0,44213,12988.510132950521
"PUBLIC RELATIONS AND FUNDRAISING MANAGERS",229,0.0,102505,36709.96213997106
"PHYSICAL SCIENTISTS, ALL OTHER",221,0.0,63413,23295.34534969287
"REGISTERED NURSES",221,0.0,63692,13642.008340941346
"SOCIAL AND COMMUNITY SERVICE MANAGERS",219,0.0,61777,17925.420396381567
"EDUCATION TEACHERS, POSTSECONDARY",219,0.0,46208,14983.384274143948
"EDUCATIONAL, GUIDANCE, SCHOOL, AND VOCATIONAL",218,0.0,41367,11403.480070884118
"FARMERS, RANCHERS, AND OTHER AGRICULTURAL MANAGERS",218,0.0,38673,12659.202540382335
"MANAGEMENT ANALYST",217,0.0,90834,28127.084542014185
"LANDSCAPE ARCHITECTS",215,0.0,52647,10052.362969717857
"PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL, AND",214,0.0,54444,13846.001710141329
SURGEONS,209,0.0,165501,75998.99181224128
"COMPUTER SYSTEMS ANALYSTS, NON R&D",204,0.0,69250,15724.053493760224
"WRITERS AND AUTHORS",201,0.0,59606,22905.93749103963
"KINDERGARTEN TEACHERS, EXCEPT SPECIAL EDUCATION",195,0.0,42855,8970.271732013074
"PRESCHOOL TEACHERS, EXCEPT SPECIAL EDUCATION",194,0.0,31592,15081.744626146748
"ELECTRICAL ENGINEERS, R&D",190,0.0,54023,11536.727625140378
"MECHANICAL ENGINEERS, R&D",187,0.0,50980,17464.450414558265
"ATMOSPHERIC AND SPACE SCIENTISTS",185,0.0,62423,13978.253160793425
"POSTSECONDARY TEACHERS, ALL OTHER",179,0.0,48585,23392.395308365365
"HEALTH AND SAFETY ENGINEERS, EXCEPT MINING SAFETY",178,0.0,79390,23056.197669464207
"FOOD SERVICE MANAGERS",175,0.0,49663,15216.77182754809
"PSYCHOLOGY TEACHERS, POSTSECONDARY",175,0.0,49208,14577.446764659839
"COMMUNICATIONS TEACHERS, POSTSECONDARY",175,0.0,46202,12380.029311040724
"PHILOSOPHY AND RELIGION TEACHERS, POSTSECONDARY",171,0.0,48026,16464.35386159525
"MENTAL HEALTH COUNSELORS",171,0.0,37636,8298.205857042498
"LODGING MANAGERS",171,0.0,56048,19632.04169522684
"COMPUTER OCCUPATIONS, ALL OTHER*",169,0.0,66759,18120.334146878777
"HEALTH EDUCATORS",168,0.0,45363,14437.853141382413
"URBAN AND REGIONAL PLANNERS",168,0.0,57744,13693.718096162287
EPIDEMIOLOGISTS,164,0.0,61959,15932.940527829056
"MARINE ENGINEERS AND NAVAL ARCHITECTS",160,0.0,86227,18404.707668299296
"POLITICAL SCIENCE TEACHERS, POSTSECONDARY",159,0.0,53351,14548.573247584816
"DENTISTS, ALL OTHER SPECIALISTS",157,0.0,103814,43493.41900204104
"PERSONAL FINANCIAL ADVISORS",156,0.0,76277,40643.38207075408
"ADMINISTRATIVE SERVICES MANAGERS",155,0.0,62177,18620.11457743232
CURATORS,154,0.0,49702,13167.246609165799
"LEGAL SUPPORT WORKERS, ALL OTHER",150,0.0,52565,18273.91452007081
"OBSTETRICIANS AND GYNECOLOGISTS",147,0.0,151900,56956.9864337323
"ENGLISH LANGUAGE AND LITERATURE TEACHERS,",144,0.0,45862,13947.023505018777
"MEDIA AND COMMUNICATION WORKERS, ALL OTHER",136,0.0,39222,12518.677977832505
"TRAINING AND DEVELOPMENT MANAGERS",136,0.0,93386,30845.487781912263
"SPECIAL EDUCATION TEACHERS, SECONDARY SCHOOL",136,0.0,48960,15879.590061861467
"REHABILITATION COUNSELORS",136,0.0,30040,4947.093175634238
"STATISTICAL ASSISTANTS",133,0.0,44231,9248.349904039887
"SOFTWARE DEVELOPERS, APPLICATIONS, R&D",133,0.0,70448,17462.561867710563
"NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS*",131,0.0,68156,17323.17653897462
"ANIMAL SCIENTISTS",123,0.0,54683,19476.862351272193
"FILM AND VIDEO EDITORS",120,0.0,48684,23949.280440075287
"COMPENSATION, BENEFITS, AND JOB ANALYSIS",120,0.0,60972,19107.722270446942
"SPECIAL EDUCATION TEACHERS, KINDERGARTEN AND",118,0.0,49711,16925.019347699035
"SOCIAL SCIENTISTS AND RELATED WORKERS, ALL OTHER",116,0.0,58632,16319.398461797802
"HISTORY TEACHERS, POSTSECONDARY",116,0.0,50444,13608.031399244543
"SPECIAL EDUCATION TEACHERS, MIDDLE SCHOOL",113,0.0,50402,16664.280937284475
"MINING AND GEOLOGICAL ENGINEERS, INCLUDING MINING",112,0.0,82798,24588.33294812551
"ARCHITECTURE TEACHERS, POSTSECONDARY",111,0.0,55166,30753.830110298066
"GEOLOGICAL AND PETROLEUM TECHNICIANS",110,0.0,56208,17085.5733038358
"CLINICAL, COUNSELING, AND SCHOOL PSYCHOLOGISTS",108,0.0,55409,14731.543588559414
ASTRONOMERS,107,0.0,58149,14501.093928666185
"NURSE PRACTITIONERS",107,0.0,81783,12858.617357129262
"SURVEY RESEARCHERS",107,0.0,45601,13360.9756844322
OPTOMETRISTS,107,0.0,88531,16649.073346609573
"FINANCIAL EXAMINERS",106,0.0,76927,24563.766346753826
"AGRICULTURAL ENGINEERS",101,0.0,56275,15107.548163332938
"SOFTWARE DEVELOPER, APPLICATIONS",100,0.0,79885,20554.222975108507
"PSYCHOLOGISTS, ALL OTHER",98,0.0,48494,14249.441648177459
"EDUCATION ADMINISTRATORS, ELEMENTARY AND SECONDARY",98,0.0,74060,19260.96484079805
ANESTHESIOLOGISTS,98,0.0,158993,62028.63446886308
"AGRICULTURAL SCIENCES TEACHERS, POSTSECONDARY",98,0.0,58155,14217.236880538858
"CIVIL ENGINEERS, R&D",97,0.0,51226,12493.997414438694
"LIFE, PHYSICAL, AND SOCIAL SCIENCE TECHNICIANS,",96,0.0,38837,9909.362147952665
"RECREATION AND FITNESS STUDIES TEACHERS,",95,0.0,44232,14422.009515111135
GEOGRAPHERS,94,0.0,44100,11967.690875522308
"DIETITIANS AND NUTRITIONISTS",93,0.0,51683,10903.679428674035
"COMPUTER PROGRAMMERS, NON R&D",91,0.0,60739,12617.735443752783
"ATMOSPHERIC, EARTH, MARINE, AND SPACE SCIENCES",91,0.0,53614,13116.09062328135
"WHOLESALE AND RETAIL BUYERS, EXCEPT FARM PRODUCTS",91,0.0,45680,11253.22266516434
"ZOOLOGISTS AND WILDLIFE BIOLOGISTS",87,0.0,49737,14430.820543131593
"ELECTRICAL AND ELECTRONIC ENGINEERING TECHNICIANS",87,0.0,49175,11648.881039197451
"CHEFS AND HEAD COOKS",86,0.0,43076,11911.535218912017
"AREA, ETHNIC, AND CULTURAL STUDIES TEACHERS,",86,0.0,51632,15206.117857640176
"OCCUPATIONAL HEALTH AND SAFETY SPECIALISTS",86,0.0,59778,15715.177628374387
"CHILD, FAMILY, AND SCHOOL SOCIAL WORKERS",85,0.0,36732,6997.102405110356
"EDUCATION ADMINISTRATORS, ALL OTHER",84,0.0,60032,16693.23810455358
"POLITICAL SCIENTISTS",81,0.0,70310,25850.247983405232
"APPLICATION PROGRAMMER",81,0.0,69307,4946.390501142035
"GEOGRAPHY TEACHERS, POSTSECONDARY",80,0.0,49517,12493.412373334684
"CHEMICAL TECHNICIANS",78,0.0,38736,6396.985065000212
"ATHLETIC TRAINERS",77,0.0,39196,11439.91134649582
"HEALTHCARE PRACTITIONERS AND TECHNICAL WORKERS",77,0.0,48362,4414.072760993973
"BOOKKEEPING, ACCOUNTING, AND AUDITING CLERKS",76,0.0,37372,9794.800887738164
"SOCIOLOGY TEACHERS, POSTSECONDARY",76,0.0,44619,9291.496556380562
"RECREATION WORKERS",74,0.0,24441,6352.076634918889
"CIVIL ENGINEERING TECHNICIANS",73,0.0,43887,10251.248778680501
"HEALTHCARE SOCIAL WORKERS",72,0.0,45160,6625.045558243737
"INSURANCE UNDERWRITERS",72,0.0,61795,19038.234563526923
"SALES REPRESENTATIVES, SERVICES, ALL OTHER",72,0.0,52476,18654.1031054475
"EDUCATION ADMINISTRATORS, PRESCHOOL AND CHILDCARE",71,0.0,39004,8546.668480515278
LIBRARIANS,71,0.0,53506,17096.974469559063
SOCIOLOGISTS,69,0.0,46808,18739.17760459217
"PROPERTY, REAL ESTATE, AND COMMUNITY ASSOCIATION",67,0.0,62407,28544.537611713775
"NURSING INSTRUCTORS AND TEACHERS, POSTSECONDARY",64,0.0,53019,14210.263054473933
"MUSIC DIRECTORS AND COMPOSERS",64,0.0,40256,11910.968907491526
"COMPUTER SYSTEM ANALYSTS",64,0.0,53587,6717.715321038953
CLERGY,63,0.0,39424,13116.707592143324
HYDROLOGISTS,63,0.0,57659,17369.893362560106
"CREDIT COUNSELORS",62,0.0,40764,10272.949161515566
"INDUSTRIAL-ORGANIZATIONAL PSYCHOLOGISTS",59,0.0,81092,18024.31495428147
"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE, NON R&D",59,0.0,74843,22401.489585275645
"DIRECTORS, RELIGIOUS ACTIVITIES AND EDUCATION",58,0.0,38731,11732.593186644253
"SELF-ENRICHMENT EDUCATION TEACHERS",58,0.0,32755,9343.137442968908
"SOFTWARE DEVELOPERS, APPLICATIONS, NON R & D",58,0.0,64576,16450.180138143634
"SOFTWARE DEVELOPERS,APPLICATIONS",57,0.0,81865,13603.265514095072
"AGRICULTURAL AND FOOD SCIENCE TECHNICIANS",57,0.0,34995,11022.043296319418
"SALES ENGINEER",55,0.0,107899,19144.54397192298
"SOCIAL SCIENCES TEACHERS, POSTSECONDARY, ALL OTHER",55,0.0,53282,25030.420505103015
"MENTAL HEALTH AND SUBSTANCE ABUSE SOCIAL WORKERS",55,0.0,33872,9382.459705502783
"SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE, R&D",55,0.0,66997,18385.32727189064
"SOCIAL WORK TEACHERS, POSTSECONDARY",54,0.0,46124,13289.760790580498
"COMMUNITY AND SOCIAL SERVICE SPECIALISTS, ALL",53,0.0,66314,92429.91368995921
"MECHANICAL ENGINEER",53,0.0,68019,7879.255210405446
"PHYSICIAN ASSISTANTS",53,0.0,80645,18757.051439254577
"MOLECULAR AND CELLULAR BIOLOGISTS",52,0.0,42387,11673.560740970883
"ELECTRONICS ENGINEERS, EXCEPT COMPUTER, R&D",52,0.0,60777,13588.257504629555
FUNDRAISERS,52,0.0,50526,12945.555682908662
ACCOUNTANTS,51,0.0,2388862,16518507.669857437
"COMPUTER SYSTEMS ANALYSTS, R&D",51,0.0,60952,13251.224209968941
"MECHANICAL ENGINEERING TECHNICIANS",50,0.0,48560,14211.983508181549
"BIOINFORMATICS SCIENTISTS",50,0.0,63613,22264.503872072964
"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER*",50,0.0,52595,11777.239535784953
"EXERCISE PHYSIOLOGISTS",49,0.0,46563,7944.610934209076
"ANTHROPOLOGY AND ARCHEOLOGY TEACHERS,",49,0.0,58969,15550.666509041572
"MARRIAGE AND FAMILY THERAPISTS",48,0.0,39702,7373.833226348289
CHIROPRACTORS,48,0.0,49750,18768.747370132427
"MATHEMATICAL SCIENCE OCCUPATIONS, ALL OTHER",47,0.0,54577,14022.135530429741
"EDUCATION, TRAINING, AND LIBRARY WORKERS, ALL",47,0.0,37628,8922.480971052277
"VALIDATION ENGINEERS",46,0.0,67485,13802.60920413302
"HEALTH TECHNOLOGISTS AND TECHNICIANS, ALL OTHER",45,0.0,40131,9608.620613432515
"NUCLEAR ENGINEERS",45,0.0,78780,16288.531274625233
"LAW TEACHERS, POSTSECONDARY",45,0.0,84181,52931.61614393436
"COMPUTER SUPPORT SPECIALIST",44,0.0,50983,17597.505536383997
"MECHANICAL DRAFTERS",44,0.0,45933,8930.967909490677
"AGENTS AND BUSINESS MANAGERS OF ARTISTS,",43,0.0,47596,20537.260236252798
"ADULT BASIC AND SECONDARY EDUCATION AND LITERACY",43,0.0,40100,12198.085941829551
"LOAN OFFICERS",43,0.0,55240,19666.16295175562
"ENVIRONMENTAL SCIENCE TEACHERS, POSTSECONDARY",42,0.0,60028,11612.679450660846
"SPECIAL EDUCATION TEACHERS, ALL OTHER",41,0.0,45797,15460.139619144604
"ELEMENTARY SCHOOL TEACHERS, EXCEPT SPECIAL EDUCATI",39,0.0,39837,7243.5396098106285
"SOCIAL AND HUMAN SERVICE ASSISTANTS",39,0.0,30331,6258.568373033163
"EXECUTIVE SECRETARIES AND EXECUTIVE ADMINISTRATIVE",39,0.0,2109594,12690992.156213239
"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND CARE",38,0.0,46694,9404.869487122023
"CARTOGRAPHERS AND PHOTOGRAMMETRISTS",36,0.0,47519,8588.41838372837
"CRIMINAL JUSTICE AND LAW ENFORCEMENT TEACHERS,",36,0.0,46570,14343.423790677816
"SOCIAL WORKERS, ALL OTHER",36,0.0,45669,8153.46311697928
"SPECIAL EDUCATION TEACHERS, PRESCHOOL",35,0.0,48007,8834.913491678859
"CUSTOMER SERVICE REPRESENTATIVES",35,0.0,35589,8211.27439201508
SURVEYORS,34,0.0,55768,16626.137654944207
"PHARMACY TECHNICIANS",34,0.0,30651,5334.650005510042
"INDUSTRIAL ENGINEERING TECHNICIANS",34,0.0,47814,10542.432823404988
"AGRICULTURAL INSPECTORS",33,0.0,34097,5821.981956813312
"INSURANCE SALES AGENTS",33,0.0,44131,21216.937173637383
"FARM AND HOME MANAGEMENT ADVISORS",33,0.0,39589,10751.7872260897
